2904508475;1110698245;
1110698245;4708512440;
4708512440;353286182;
353286182;475360049;
475360049;1416641674;
1416641674;4749945219;
4749945219;473849956;
473849956;475355976;
475355976;1202110494;
1202110494;4573825393;
4573825393;126604780;
126604780;2489677590;
2489677590;2596033750;
2596033750;296058886;
296058886;3241162403;
2196549040;3896082255;
3896082255;128560449;
128560449;474546948;
474546948;3163927501;
3163927501;474695389;
474695389;4505281862;
4505281862;2532268721;
2532268721;1866347297;
1866347297;1866347404;
1866347404;1866347438;
1866347438;2094769995;
2094769995;335691888;
2225262331;4378186331;
4378186331;2169139651;
2169139651;112652012;
112652012;112652018;
112652018;112628000;
112628000;297370462;
297370462;3241140500;
3241140500;3456445898;
3573222246;3573222154;
3573222154;3573222104;
3573222104;412249450;
412249450;2073943320;
2073943320;112597525;
112597525;444017063;
444017063;4452315764;
4452315764;343634649;
343634649;343646655;
343646655;4526689733;
4526689733;435468997;
435468997;474793789;
474793789;474789323;
474789323;474789315;
474789315;4455723345;
4455723345;4464000796;
4464000796;122432550;
122432550;126597343;
126597343;1866347372;
1866347372;2094769995;
2094769995;137818312;
137818312;2100595280;
2100595280;3092543636;
452682249;25632292;
25632292;4708512440;
4708512440;1422610104;
1422610104;137993249;
137993249;4573825411;
4573825411;4457851537;
4457851537;474800927;
474800927;128560437;
128560437;2605287581;
2605287581;128560423;
